DBLT;Decrement and Branch if Less than;DBTL Dn,<label>;-W-;*;*;*;*;*
DBMI;Decrement and Branch if Minus;DBcc MI,<label>;-W-;*;*;*;*;*
DBNE;Decrement and Branch if Not Equal;DBNE Dn,<label>;-W-;*;*;*;*;*
DBPL;Decrement and Branch if Plus;DBPL Dn,<label>;-W-;*;*;*;*;*
DBT;Decrement and Branch if True;DBT Dn,<label>;-W-;*;*;*;*;*
DBVC;Decrement and Branch if Overflow Clear;DBVC Dn,<label>;-W-;*;*;*;*;*
DBVS;Decrement and Branch if Overflow Set;DBcc Dn,<label>;-W-;*;*;*;*;*
DIVS;DIVide Signed;Dx,Dy;-W-;-;*;*;*;0
DIVS;DIVide Signed;<ea>,Dn;-W-;-;*;*;*;0
DIVS;DIVide Signed;#<data>,Dn;-W-;-;*;*;*;0
DIVU;DIVide Unsigned;Dx,Dy;-W-;-;*;*;*;0
DIVU;DIVide Unsigned;<ea>,Dn;-W-;-;*;*;*;0
DIVU;DIVide Unsigned;#<data>,Dn;-W-;-;*;*;*;0
EOR;Exclusive OR;Dx,Dy;BWL;-;*;*;0;0
EOR;Exclusive OR;Dn,<ea>;BWL;-;*;*;0;0
EORI;Exclusive OR Immediate;#<data>,Dn;BWL;-;*;*;0;0
EORI;Exclusive OR Immediate;<data>,<ea>;BWL;-;*;*;0;0
EXG;Exchange any two registers;Rx,Ry;--L;*;*;*;*;*
EXT;Sign EXTend;Dn;-WL;-;*;*;0;0
FTRAPCC;Execute FTRAP Exception if Carry Clear;#<vector>;;*;*;*;*;*
FTRAPCS;Execute FTRAP Exception if Carry Set;#<vector>;;*;*;*;*;*
FTRAPEQ;Execute FTRAP Exception if Equal;#<vector>;;*;*;*;*;*
FTRAPF;Execute FTRAP Exception if False;#<vector>;;*;*;*;*;*
FTRAPGE;Execute FTRAP Exception if Greater than or Equal;#<vector>;;*;*;*;*;*
FTRAPGT;Execute FTRAP Exception if Greater than;#<vector>;;*;*;*;*;*
FTRAPHI;Execute FTRAP Exception if HIgher;#<vector>;;*;*;*;*;*
FTRAPHS;Execute FTRAP Exception if Higher or Same;#<vector>;;*;*;*;*;*
FTRAPLE;Execute FTRAP Exception if Less than or Equal;#<vector>;;*;*;*;*;*
FTRAPLO;Execute FTRAP Exception if Lower;#<vector>;;*;*;*;*;*
FTRAPLS;Execute FTRAP Exception if Lower or Same;#<vector>;;*;*;*;*;*
FTRAPLT;Execute FTRAP Exception if Less than;#<vector>;;*;*;*;*;*
FTRAPMI;Execute FTRAP Exception if Minus;FTRAPcc MI,<label>;-W-;*;*;*;*;*
FTRAPNE;Execute FTRAP Exception if Not Equal;#<vector>;;*;*;*;*;*
FTRAPPL;Execute FTRAP Exception if Plus;#<vector>;;*;*;*;*;*
FTRAPT;Execute FTRAP Exception if True;#<vector>;;*;*;*;*;*
FTRAPVC;Execute FTRAP Exception if Overflow Clear;#<vector>;;*;*;*;*;*
FTRAPVS;Execute FTRAP Exception if Overflow Set;#<vector>;;*;*;*;*;*
ILLEGAL;Take Illegal Trap Instruction;;---;-;-;-;-;-
JMP;JuMP to Affective Address;<ea>;;*;*;*;*;*
JSR;Jump to SubRoutine;<ea>;;*;*;*;*;*
LINK;Link and Allocate;An,#<displacement>;-W-;-;-;-;-;-
LEA;Load Effective Address;<ea>,An;--L;*;*;*;*;*
LSL;Logical Shift Left;Dx,Dy;BWL;*;*;*;0;*
LSL;Logical Shift Left;#<1-8>,Dy;BWL;*;*;*;0;*
LSL;Logical Shift Left;<ea>;BWL;*;*;*;0;*
LSR;Logical Shift Right;...;BWL;*;*;*;0;*
MOVE;Copy value;Dx,Dy;BWL;-;*;*;0;0
MOVE;Copy value;Rn,Dy;-WL;-;*;*;0;0
